elapsed_s,ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,ACCELERATOR_PEDAL_POSITION_D,ACCELERATOR_PEDAL_POSITION_E,COMMANDED_THROTTLE_ACTUATOR,INTAKE_AIR_TEMPERATURE,TIMING_ADVANCE,CONTROL_MODULE_VOLTAGE
116,885.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,2.34375,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.6
117,891.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
118,891.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.6
119,892.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,3.125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,4.0,13.6
120,904.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
121,914.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,-0.78125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
122,914.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,2.34375,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
123,901.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,2.34375,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
124,899.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,0.78125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,4.0,13.5
125,895.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,2.34375,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,4.0,13.5
126,895.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,2.34375,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
127,902.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,2.34375,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
128,921.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,0.78125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
129,921.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,0.78125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,4.0,13.6
130,910.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,2.34375,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.6
131,905.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,5.0,13.6
132,887.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,3.125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,5.0,13.5
133,887.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
134,897.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.6
135,896.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,0.78125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,5.0,13.6
136,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,2.34375,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,5.0,13.5
137,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,2.34375,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
138,905.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
139,906.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,3.125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.6
140,906.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,3.125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,4.0,13.5
141,897.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,3.125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,5.5,13.5
142,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,2.34375,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
143,910.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
144,910.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
145,910.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
146,910.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
147,910.0,0.0,20.392156862745097,49.41176470588236,107.0,-9.375,0.0,105.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
148,910.0,0.0,20.392156862745097,49.41176470588236,107.0,-9.375,0.0,105.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
149,910.0,0.0,20.392156862745097,49.80392156862745,107.0,-9.375,0.0,105.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
